"Temporary In-house Box Reference","Existing box label(s)","Box contents summary","Covering Dates","","",""
"15","Proofs and Manuscripts 1990","1990 Neil Astley Dear Prime Minister; 1990 Connie Bensley Central Reservations; 1990 Dear Prime Minister Astley Planning; Central Reservations Bensley Typescripts 1990; Snow Leopard Penultimate Text Forsstrum; Astley Dear Prime Minister 1990; 1990 Ken Smith Heart/Border; 1990 Ciaran Carson Belfast Confetti; 1990 New Women Poets; 1990 Snow Leopard Forsstrum (McDuff); 1990 Richard Murphy Mirror Wall Cover Setting and A/Work; Coastguards House Reed Montaie First Versions before revisions - seen by Hugh Shankland 1990; Murphy Mirror Wal Bloodaxe proof and productions 1990; Dear Prime Minister Astley 1990; Carol Rumens New Women Poets 1990; Coastguards House Reed/Montale Proofs 1990;                                                 ","1990","","",""
"16","Proofs and Manuscripts Happy Kettle 1995 "," Poetry my Arse (1) '95; Poetry my Arse (2) '95; Current Press Releases Copies filed here Originals in photocopy master box 95; Dave Smith Farers 1995; 95 Bartlett Two  Women Dancing Proofs; Selected Poems C. K. Williams; 1995 Berry Hot Earth Cold Earth Proofs and MSS; 1995 Simpson Catching up with History Proofs and TS; Bill Naughton Neither Use Nor Ornament 1995 ","1995","","",""
"17","Proofs and Manuscripts 1992"," 1992 France: Red Proofs and MSS; Gosta Agren A Valley in the Midst of Violence; 1992 Benjamin Zephaniah City Psalms; 1992 Xanadu Proofs and MSS; English arthquake Salzman Proofs 1992; 1992 Proofs Rebel without Applause; 1992 Balmer Sappho Proofs; 1992 Redgrove Proto Cyclopean Mistress; By Hand (Wordworks) Tyne Tees 1992; 1992 Wordworks; Selected Poems Jospeh Proofs 1992; 1992 Brathwaite Middle Passage Proofs; Maxwell Out of the Rain 1992; Wearne Out Here 1992","1992","","",""
"20","Proofs and Manuscripts !!! 1992","Harrison Gorgon Proofs and Drafts 1992; 1992 Kennelly Breathing Spaces Proofs; Night Pleasures 1992 Dave Smith; Conn-Boating Party First Seven Versions 1992; 1992 Attila Scornflakes Proofs; McCuckan Typescripts Marconi's Cottage 1992; Stenburg Proofs Wings of Hope and Daring 1992; Ratvshinskyz Shadow Proofs 1992; Selected Poems 1992 Lorca Proofs> (Unlabelled package)","1992","","",""
"22","Proofs and Manuscripts! Do not open if you have envelope fear 1996"," 1996 Mandelstam Vernonezh Notebooks; Roy Fisher the Dow Low Drop 1996; Szirtes/Gömöri Colonnade of Teeth 1996; Tom Pow Red Letter Day MSS and Proofs 1996","1996","","",""
"23","Proofs and Manuscripts 1991"," Soft Target Proofs Simon Rae 1991; 1991 Garrett Rule of 3 Proofs etc.; August 1991 and November 1989 Typescripts; Piotr Sommers 1989; Piotr Sommer Things to Translate and Some Duhig Proofs 1991; Content and Tasteful by Julie O'Callaghan; Elliot French Love Poems 1991; What's What Julie O' Callaghan 1991; John Hughes Chill Wind Proofs and Various MSS 1991; 1991 Noel Connor Confounded Language Proofs; The Tutenkhamen Variations 1991; Constantine Selected Poems 1991; 1991 Dunmore Short Days> Long Nights Proofs; Scammell 1991 New Lake Poets; 1991 Mandelstam Proofs; Noel Connor 1991 Confounded Proofs","1989-1991","","",""
"24","Proofs and Manuscripts 1993"," William Martin Marra Familia 1993; 1993 Cleary The Irish Card1993; Turnspit Dog Proofs etc. 1993 Normal Nude Proofs; 1993 Randall Proofs White Eyes Dark Ages; Sunset Grill Rouse Proofs 1993; 1993 Blood of the Walsungs Orban Proofs and MSS; 1993 Rumens Thinking of Skins Proofs and MSS; 1993 Stephen Knight Flowering Limbs Proofs and TS; 1993 Stephen Smith Fab Relatives Proofs and Typescripts; 1993 Austin On the Border Proofs> Typescripts and First Version; 1993 Shvarts Paradise Proofs","1993","","",""
"25","Proofs and Manuscripts 1994"," 1994 Sansom Writing Poems; 1994 Enzensberger Selected Poems Proofs; Complete Poems Karin Boye Proofs 1994; Selected Writings Tuominen MSS and Proofs 1994; Dark Fathers into Light Pine 1994; 1994 Poetry Virgins Sauce MSS and Proof; '94 Gillilan All -Steel Traveller Proofs; 1994 W. N. Herbert Forked Tongue MSS","1994","","",""
"26","Proofs and Manuscripts! 1989"," Markham proof material 1989; Marion Lomax; Marion Lomax 1989; Stainer proofs 1989; Charlton 1989; [George Charlton] 1989; Charlton Nighshift Workers annotated by Douglas Dunn (bound); Peter McDonald author proofs 1989; Anna Akhmatova Selected Poems 1989; E. A. Markham> Hinterland> 1989; Armitage Zoom author proofs 1989; Sylvia Kantaris Dirty Washing typescript 1989; [Akhmatova] 1989; E.A. Markham Hinterland copy of typescript 1989; Bunting Uncollected Poems? 1989; Marion Lomax Peepshow Girl 1989; Step by Step 1989; McDuff Ice Around Our Lips proofs 1989; Charlton typescript 1989","1989","","",""
"27","Proofs and Manuscripts The New Posh and Becks 1994"," Greig Western Swing 1994; 1994 Razumovsky Marina Tsvetayeva (2); Unlabelled Packet; 1994  Razumovsky Marina Tsvetayeva (1); Unlabelled Packet; 1994 Tony Harrison Permanently Bard; 1994 Berkeley Proofs Facts About Water; ","1994","","",""
"28","Proofs and Manuscripts 1996"," 1996 W. N. Herbert Cabaret McGonagall Proofs and TS; 1996 Lorca and Kennelly Blood Wedding Proofs; 1996 Meehan Mysteries of the Home Proofs; 1996 Zephaniah Propa Propaganda Proofs; 1996 Adrian Mitchell Blue Coffee MSS; 1996 Judi Benson Long Pale Corridor Proofs; 1996 Fairleigh When the Tunnels Meet Proofs and MSS; Bloodaxe Books Information; 1996 Stainer 1 Ice Pilot Speaks 2 Wound Dresser's Dream Proofs and MSS; 1996 Higgins Sunny Side Proofs; 1996 Selected Poems Hölderlin 2nd Edition Proofs","1996","","",""
"29","Proofs and Manuscripts Beware: flying pigs 2000","2000 Edna Longley Poetry and Posterity Proofs; Grip on the Thin Air Jane Griffiths Proofs and MSS 2000; 2000 Isabel Martin Reading Peter Reading MSS and Prooofs; 2000 Edna Longley Poetry and Posterity Proofs ","2000","","",""
"30","Manuscripts and Proofs "," '98 Clare Pollard Havey Petting Zoo MS and Proofs; Reading Party; Gwyneth Lewis Zero Gravity; Tony Harrison The Gaze of the Gorgon; The Fire-Gap Tony Harrison; Cheque with orders held-book NYP; Michael Chaplin; Matt Simpson; Unlabelled packet; Dutton; Fleur Adcock Poems 1960-2000; Step by Step Sirkka-Liisa Konttinen; Dutton; Loose Poems; Unlabelled folder; Heslop Autobiography - Original Version; Vyacheslav Kuprianov trs. Francis R. Jones; Unlabelled file; Loose poems; Long Pale Corridor; Mistila Proofs etc.; John Hartley Williams; Unlabelled Folder ","1998","","",""
"31","Proofs and Manuscripts 1986 The path to Nirvana begins here"," 1987 Boundless Function Arthur Gibson; Ken Smith Chinese Whispers Old Text 1987; 1987 Kibble Place Conn proofs etc.; 1987 Pete Didsbury The Classical Farm; Didsbury Classical Farm-Typescript 1987; Ken Smith 1987 Chinese Whispers Proofs; Holub Proofs 1987; For Pack # 1 Adcock Dooley Litherland Maughan 1986; Selected Poems Levertov Proofs Derek Smith For Collection by 'Bloodaxe Books' 1986; G. F. Dutton Squaring the Waves 1986; Dutton Typescript; Greig/Jamie Flame in your Heart 1986; Greig/Jamie Flame in Your Heart 1986; Sea Skater Dunmore 80; Jimmy Forsyth Editorial Correspondence Scotswood Road 1986; 1986 Ruth Fainlight; 1986 Jimmy Forsuth Scotswood Road; 1986 Steve Ellis","1986-1987","","",""
"32","Proofs and Manuscripts A ripping good family day out 1997","1997 Anne Rouse Timing MSS and Proofs; 1997 C. K. Williams The Vigil Manuscript; 1997 Adrian Mitchell Heart on the Left MSS and Proofs; 1997 Gillian Ferguson Air for Sleeping Fish Proofs and MSS; 1997 Ruth Fainlight Sugar Paper Blue MSS and Proofs; 1997 Jane Holland Brief History...MSS and Proofs; 1997 Making for Planet Alice Proofs; 1997 John Hartley Williams Canada Proofs and MSS; 1997 Enzensberger Kiosk Proofs; 1997 Ursu Sky Behind Forest Proofs and MSS; 1997 Common Carnage a collection of poetry by Stephen Dobyns","1997","","",""
"33","Proofs and Manuscripts! 1990"," 1990 Andrew Greig Order of the Day Proofs etc.; Richard Murphy The Mirror Wall 1990; Hewett Proofs Alice in Wormland; Tremor of Racehorses Fischerová Proofs 1990; Counterpoint Proof R. S. Thomas 1990; Waiting for the Storm 1990 Mangan Proofs; Mangan Proofs Waiting for the Storm 1990; Simpson Galosherman rejects 1990; Matt Simpson An Elegy for the Galosherman Correction Pages; Glyn Maxwell Tale of the Mayor's Son Final Version 1990; Morden Tower Material Brown> Gordon 1990; Brendan Kennelly A Time for Voices '90; Dear Next Prime Minister Astley 1990; '90 Tale of the Mayor's Son; Dave Ketchin Riverrun Signatures; Loose Sheets; Maxwell; Maxwell Proofs; Glyn Maxwell Tale of the Mayor's Son Proof '90; Galosherman '90 Matt Simpson","1990","","",""
"34","Proofs & M/scripts '78 - '85","Ken Smith Tristan Crazy 1978; Carter proofs and artwork 1985; Bunting 1980; Horovitz proofs (2) 1985; Paulin 1985; [David Contantine] Davies CRC/Brass/Dummy 1985; Horovitz 1985; Paul Hyland Stubborn Forest setting 1984; Soresco mss & proofs selected poems 1983; O' Brien proofs and mss 1983; Leopold Staff mss and proofs 1983; Davies revised text 1985; Davies 1985 proofs; Horovitz proofs 1985","1978 - 1985","","",""
"36","Proofs and Manuscripts Now 35% more funerific 1990","Joolz Emotional Terrorism 1990; 1990 Hulub Proof Master Copy; Dear Next Prime Minister Editorial File 1990; Gordon Brown High on the Walls 1990; Rumens New Women Poets 1990; 1991 Duhig Proofs and Typescripts The Bradford Count; 1991 Dutton Proofs Concrete Garden; 1991 Herbert Lomas Contemporary Finnish Poetry Revised Version 4th August 1990","1990-1991","","",""
"38","Proofs and Manuscripts! 1994"," Longley: Living Stream 1994; 1994 (Caspar Hauser) David Constantine Nobby Horn; 1994 Tsvetaxeva Typescript; [Envelope addressed to] Neil Astley; 1994 Jacottet Proofs and MS Under Clouded Skies; 1994 Heslop Proofs Out of Old Earth; 1994 Proofs to MSS Selima Hill ""Trembling Hearts in the Bodies of Dogs""; 1994 Edna Longley The Living Stream (1); Edna Longley The Living Stream (2); Edna Longley The Living Stream (3)","1994","","",""
"39","Proofs and Manuscripts (Mama said knock you out) 1995 "," Labels for Selection Books 1995; 1995 Kennelys Poetry My Arse Proof Copy; 1995 O'Siadhails Fragile City Proof Copy; 1995 Astley's Biting my Tongue Proof Copy; 1995 Conn In the Blood Poems by Stweart Conn; 1995 Carol Rumens Best China Sky - early version of MS; 1995 Annemarie Austin Proofs and MSS Flaying of Marsyas Door upon Door; 1995 Micheal O' Siadhail MSS and Proofs A Fragile City; 1995 Duhig Mersey Goldfish Proofs and MSS; Tony Harrison Permanently Bard; Cesaire: Master Proofs Return to my Native Land 1995; 1995 Helen Kitson Love Among the Guilty MSS and Proofs; 1995 Gwyneth Lewis Parables and Faxes MSS and Proofs","<","","",""
"40","Proofs & Manuscripts! If you poke them they bite. '78 - '85"," Talitha Cumi David Constantine & Rodney Pybus 1983; Ukelele Music 1985; Selected Poems artwork Oldham 1980; Dumore mss and galleys 1983; Stephen Dunstan Tarot Poems 1980; Paul Hyland Domingus; Adcock Virgin + Nightingale 1983; Flynn Strange Routine 1980; Maxwell Out of the Rain proofs 1992; Pete Didsbury Butchers of Hull 1982; Constantine Watching for Dolphins Typescript 1983; Poetry of Basil Bunting [1991]","1980 - 1992","","",""
"41","Leo DeCaprio and Kate Winslet in…Proofs and Manuscripts! Nothing in this world could tear them apart"," 1998 Duhig Nominies Proofs and MSS; Sean O'Brien Roy Fisher Chap (31 Aug 95) Deregulated Muse 98; 1998 O'Brien Deregulated Muse Proofs; 1998 O'Brien Deregulated Moose","<","","",""
"42","Proofs and Manuscripts! (Hear ye> hear ye!)"," Roy Fisher The Dow Low Drop 1996; Hyland 1996 Getting into Poetry Proofs; 1996 Objectivists Rights; McAllister Objectivists Proofs 1996; 1996 Marion Lomax Raiding the Borders MSS and Proofs; 1996 Holderlin Proofs Selected Poems; 1996 Dooley Kissing and Bone Proofs; 1996 Knight Dream City Cinema Proofs; Muse July 23 1996; 1996 Velocities by Stephen Dobyns; French The New French Poetry Kelley/ Khalfa 1996; 1996 Balmer Classical Women Poets","<","","",""
"44","Proofs & Manuscipts! 1978 - 85"," Edith Södergran Complete Poems 1984; Frighteners proofs 1985; The Poet Reclining Ken Smith 1982; Tony Harrison v. 1985 (2); Constantine Brightness to Cast Shadows 1980;  R.S. Thomas Selected Poems 1986; Complete Poems Crane (galley settings) 1984; Burned Book Rubbing [?] 1981; photograph to Neil Astley from Noel Connor 29/05/81; Sodergran Selection 1984; Simpson Making Arrangements 1982; Women Poets General 1985; Women Poets Couzyn Stuff 1985; Work Into Light Jeni Couzyn 1985; Flynn A Strange Routine 1980; Poet Reclining (2) Ken Smith 1982; Constanti [David Constantine Watching for Dolphins> 1983]; Reject Setting Abel Baker; US Martial Rumens [?]; Cassidy Night Cries ms & galleys [1982]","1980 - 1986","","",""
"47","Proofs and Manuscripts! © Walt Disney Productions "," Painted Stars; Part 2 The Horn Dice-Box; Pierre Reverdy Poemes en Prose 1915; Robert Desnos Les Ténèbres; Pierre Reverdy Les Jockeys Camoufles (1918); Robert Desnos A La Mysterieuse (1926); Benjamin Péret; Max Jacob Le Cornet A Des; Translations by Martin Bell; Geoff Hettersley Don't Worry 1994 MSS and Proofs; 1994 Not Fade Away by Adrian Henri MS and Proof; Greig Heretical Buddha (Western Swing) 1994; Andrew Greig Western Swing 1994; 1994 Tom Pickard Tiepin Eros and earlier MSS Proofs and MSS; Typescript Copy Choosing to be a Swan Connie Bensley 1994; 1994 Andrew Greig Western Swing Author Proofs; 1994 Douglas Oliver Penniless Politics; Proofs 1994 Helen Dunmore Recovering a Body; 1994 Chris Greenhalgh Stealing the Mona Lisa MSS and Proofs ","<","","",""
"49","Finance Management","1. Production Programmes April 1990 - 1995> 2. Cash flows 1986 - 1989> 3. Production Estimates 4. Sales by Title '85 - '88 5. Spreadsheets '89 - '90 6. Sales Projections '86-'88> 7. Monthly Sales '86-'81> Budget Plans '89 - '90","1985-1995","","",""
"50","Marketing and Publicity Archives","Loose sheets; Neil Astley; Blackwell Bookshops; Blackwell Retail Group Directory; Waterstones; Book Trust/ National Book League; Unlabelled folder; Barbie Keene Zimbabwe; Dsitributors IPD Welsh Books Centre SBD James Taylor Whitecoulls; Bernard Thorpe; Reps; Greg Carr; Debbie Jones; Mike Wilson; Clive Malins; David Grant; Dufour; Gregory Carr Ireland; Unlabelled folder; Dillions The Bookstore; Unlabelled folder; Sherratt and Hughes; Loose sheets; Office of Arts and Libraries; Canada; Europe; Dutch Marketing Neil Astley; Edinburgh Book Fair; Pong! The New Generation May 1994 Poetry Promotion; Book Data for Publishers; Awards History General Documents; Manfred Nippel Continent Books Holland; USA; Brickrow New Zealand; Sweden; Pakistan; Japan; Australian B/Sellers ASSN; China","<","","",""
"51","Proofs & Manuscripts 1986"," Jimmy Forsyth Scotswood Road 1986; 1986 Ghosts at 4am Jill Maughan Editorial Corres; 1986 Gillilan That Winter; 1986 Lesser Vehicle John Drew; 1986 Douglas Houston With the Offal Eaters; Douglas Houston With the Offal Eaters; Houston P.S. Lines on a Voice...recently published in Censorship: Register of Welsh Union of Writers (Not sure of title) (Cardiff> 1986) Acknowledgements?; 1986 Terra> James Simmons Texts Poems 1986; Irina Ratushinskaya No> I'm Not Afraid 1986; The Sea Skater Dunmore typesetting and typescripts and proofs 1986; Longley typescripts Poetry Wars 1986; Edna Longley Poetry in the Wars 1986","1986","","",""
"52","Proof and Manuscripts! With such a low P.R.> we dare you to go anywhere else"," '95 Maxwell Rest for the Wicked Proofs; 1995 George Gale Carol Rumens Best China Sky MSS and Proofs; Naughton Neither use nor Ornament 1995; Gwyneth Lweis Proofs 1995 Parables and Faxes; 1995 Reading Collected Poems Vol. 1 Proofs; 1995 Lawrence Sail Building into Air MSS and Proofs; Duhig/Proof/The Mersey Goldfish 1995; 1995 Kennelly Mini-Proof Poetry my Arse","1995","","",""
"53","Proofs and Man/s! '78 - '85"," Bunting 1980; Wells Winter Festival 1980; Z ms and galleys 1982; On the Contrary [1984]; Scott proofs 1984; envelope addressed to Mrs M. Bonicelli; Ratushinskaya complete copy 1986; Scott proofs 1984; Hollub proof and forewords 1984; Scott manuscript 1984; Abel Baker Burned Books ms and proofs 1981; Sodergran old texts for file 1984; Ten North East Poets proofs/each others 1980; Tarot Poems 1980; Fox Running 1984; Vince[nt Morrison] Testimonial 1979; Adcock copy etc. 1979; Oldham 1980; letter from freelance artist to Neil Astley 1983; printers catalogue 1983; Bunting Brigflatts 1980","1979 - 1984","","",""
"54","Proofs and Manuscripts! (Now with free envelopes) 1997 "," Keith Bosley Skating on the Sea MSS and Proofs 1997; 1997 Glyn Wright Shingdig MSS and Proofs; 1997 Katie Dunovan Entering the Mare Proofs and MSS; 1997 Selima Hill Violet Proofs and MSS and some Trembling Hearts; 1997 Roddy Lumsden Yeah Yeah Yeah Proofs and MSS; Valery/Elliot La Jeune Parque Proofs and MSS 1997; 1997 Linda France Storyville Proofs and MSS; 1997 C. K. Williams The Vigil Proof and MSS; 1997 1996-97 Work in Regress; 1997 Barry Macsweeney Book of Demons MSS and Proofs","1996-1997","","",""
"55","Proofs and Manuscripts 1987","Sid Chaplin In Blackberry Time 1987; Bossy Parrot Proofs '87; '87 Burning Forest Proofs etc. Czerniawski; '87 Holub Proofs; A Gilded Lapse of Time by Gertrude Schnackenberg Richard Scott Simon Limited 43 Doughty Street London WC1N 2LF; Arthur Gibson '87 Boundless Function > '87 Jamie Proofs and Typescript; '87 Sean O'Brien Frighteners; 1987 Conn Typescript; Tsveteva Typescript Selected Poems 1987; A Book of Chinese Whispers 1987; Wormwood Typescript and Proofs; Neil Astley Bloodaxe Books; Holub Fly Proofs 1987; Bloodaxe Books Poetry with an Edge edited by Neil Astley; In Blackberry Time Sid Chaplin Galleys 1987; 1987 Arthur Gibson Boundless Function; 1987 Jamie proofs The Way We Live","1987","","",""
"59","Proofs and Manuscripts! (May contain nuts but not v. likely)"," 2000 Douglas Oliver A Salvo for Africa MSS and Proofs; 2000 Jean 'Binta' Breeze Arrival of Brighteye MSS and Proofs; 2000 Kinsella Hierachy of Sheep Proofs and MSS; 2000 Roddy Lumsden Book of Love MSS and Proofs; 2000 Maxwell Boys At Twlight Proofs; 2000 Peter Reading Marfan MSS and Proofs; 2000 Ioana Ieronim Triumph of the Water Witch MSS and Proofs; WM Martin Lammas Alanna MS and Proofs 2000; 2000 Love and Variations (Final Version) Satyamurti Proofs and MS; 2000 John Agard Weblines MSS and Proofs ","2000","","",""
"60","Proofs and Typesettings"," Archive British Coal Enterprise Quarry Press; Gunnar Ekelof; Tyne Tees Wordworks; The Poet Reclining by Marc Chagall; Step by Step - Dummy and Reject Setting and Proofs (T/Setting); Proof Copy Dear Next Prime Minister; Hewett Proofs and Typescript etc.; Wearne Proofs; David Scott Playing for England; Clemo Proofs; Clemo Proofs; John Hartley Williams Cornerless People; Linda; Ekelöf Divan Guide 46> Ekelöf Guide 47 Tale; Hartley Williams Typescript; Master Spare Sheets with no corrections; Dave Smith Cuba Night Typescript; Ma Chi-Yuan Paper Parts 1 (Introduction) and 2 (Poems translated); Archie's Proofs; Kennelly Proofs and reject setting; Twenty-seven love poems (in order); Desmond Graham; Leaf 2 Copy and C; Typesetting; Clemo Typescript; Fleur Adcock Meeting the Comet Proofs and Reject Setting","?","","",""
"62","Proofs and Manuscripts 1991"," Dunmore Short Days proofs 1991; Forde Bunting mss 2nd copy for Ken 1991; I Won’t Let You Go more Tagore proofs 1991; Mandelstam Moscow Notebooks 1991; GF Dutton Concrete Garden prototypes 1991; Scammel New Lake poets proofs 1991; Greening Tutankhamun Variations 1991; Tings and Times [Johnson] proofs 1991; Petri Night Song of the Personal Shadow proofs 1991; Jackie Kay The Adoption Papers prrofs 1991; Mandelstam 1st Notebooks Kuzminsky copy 1991; Adrian Mitchell's Greatest Hits from Mark Lucas 1991; Dooley Explaining Magnetism proofs 1991; Scammel New Lake Potes 1991; Scammel New Lake Poets proofs 1991.","1991","","",""
"63","Proofs and Manuscipts"," [Tom Paulin Ireland & the English Crisis?]; Kennedy A Time for Voices typescript [1990]; [loose leaf> unidentified material-box requires attention]","?","","",""
"64","Proofs and Manuscipts 1997"," Hotspur 1997; Transtromer/Fulton [second half] 1997; Stokes reject poems and old versions 1997; Rumens proofs and typescripts 1997; Kathleen Jamie Queen of Sheba 1997; John Agard From the Devil's Pulpit 1997; [rejection letters for invitations from Neil Astley to write for Dear Next Prime Minister] 1997; [Sean O Brien The Deregulated Muse] 1997; [Tagore undated]; [Dear Mrs Thatcher] 1997; Catalogue 1997; ","1997","","",""
"65","Proofs and Manuscripts 1993"," The Trojan Woman [1993]; Selected Poems Josef Hanzlik proof copy 1993; Randall White Eyes more proofs 1993;  Josef Hanzlik Selected Poems [3 copies]; Charlotte Cory [1993]; MacInnes Elsewhere and Back 1993; Shvarts Paradise mss and proofs 1993; Katie Donovan Watermelon Man 1993; Jack Clemo Approach to Murano 1993; Josef Hanzlik Selected Poems 1993; Pamela Gillilan The Turnspit Dog 1993; Sylvia Kantaris Lad's Love 1993; Mairi MacInnes Elsewhere and Back ms 1993; Steve Ellis proofs and mss 1993","1993","","",""
"66","Proofs and Manuscripts 1986"," Ellis '86 typescript; 1986 Levertov Selected rejected page setting; Persephone Mock-Up Jenny Joseph 1986; '86 Edmond; Jenny Jones Persephone Main Proof (JJ's) and Spare Proof (before final re-run) 1986; 1986 Levertovs A/W; Levertov Selected Poems 1986; Longley Poetry in the Wars 1986; Jenny Joseph Persephone 1986; Jenny Joseph Persephone 1986; Jenny Joseph Persephone Page Proofs; 1986 Levertov Selected & Oblique Prayers Typescript; Lesser Vehicles 1986 John Drew Rejects ","1986","","",""
"67","Yet more proofs and further manuscripts 1996"," 1996 Karina Porteous The Lost Music; Gardening in the Tropics Olive Senior MSS 1996; Reading Collected 2 1996; Fellow This fellow with the fabulous smile Persson 1996; Éluard: Proofs 1996 Unbroken Poetry 2; Rome the Sorceress Frénaud Proofs 1996; Elfyn: Menna Cell Angel Proofs 1996; (Colonnade of Teeth) Hungarian Anthology Gömöri/Szirtes 1996; ","1996","","",""
"68","Proofs and Manuscripts! Made with slugs> snail and puppy tails"," 1991 Fred Voss Post- Goodstone MSS.; Tony Harrison (2); Astley Tony Harrison: Crit. Anth (1) 1991; 1991 Basil Buntings Poetry Forde Proofs and Pix; Adoption Papers Kay Proofs 1991; 1991 Garrett Rule of Three MSS","1991","","",""
"69","Proofs and Manuscripts! Boing!!! 1998 ","1998 Garrett Two-Part Invention MS and Proofs; 1998 David Constantine The Pelt of Wasps MSS and Proofs; Beverley Braune Camouflage 1998; Beverley Braune Camouflage 1998; 1998 Gwyneth Lewis Zero Gravity Proofs and MSS","1998","","",""
